Проект;Номер дома;Номер квартиры;Тип планировки;Тип планировки 2;Общая площадь, кв,м,;Ссылка на планировку;Комнатность;Тип;Паркинг;Вид из окна;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Размер сан узла №2;Размер сан узла №3;Размер сан узла №4;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Размер балкона №4;Размер балкона №5;Терраса №1;Терраса №2;Терраса №3;Терраса №4;Терраса №5;Жилая площадь за кв,м,;Размер второй комнаты;Размер третьей комнаты;Размер четвертой комнаты;Размер 5 комнаты;Размер 6 комнаты;Размер 7 комнаты;Размер 8 комнаты;Размер 9 комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Дополнительный статус;Дата старта продаж;Дата продажи;ProfitbaseId;ProfitbaseHomeId;ComplexId;Площадь гардеробной1;Площадь гардеробной2;Площадь гардеробной3;Площадь гардеробной4;Совмещенный санузел;Высота потолков;Акция;Угловая;Над проходом
ЖК Яркий;2;39;2 Г;;45,5;https://drive.google.com/uc?id=1FrAq8kwLwcM4aaC_LFnfKr_OPyEVbPc2;2;квартира;;;5;1;;нет;;4,7;;;;8,7;;;;1,1;;;;;;;;;;16,3;14,7;;;;;;;;;;Не для продажи;;;;5659235;;;;;;;;;;Нет;Нет
ЖК Яркий;2;40;1 А;;35,2;https://drive.google.com/uc?id=11W1MVzryvo4zyEcp4iCv5CQLMy2gjKVg;1;квартира;;;5;1;;нет;;3,4;;;;6,4;;7;;0,8;;;;;;;;;;17,6;;;;;;;;;;;Не для продажи;;;;5659236;;;;;;;;;;Нет;Нет
ЖК Яркий;2;41;2 А;;33,5;https://drive.google.com/uc?id=16_MWLgMVqmAMJh1uf3BfvmZM-Zn6y3Jh;2;квартира;;;6;1;;нет;;4;;;;3,7;;;;;;;;;;;;;;16,8;9;;;;;;;;;;Свободно;;;;5659237;;;;;;;;;;Нет;Нет
ЖК Яркий;2;42;2 Ж;;49;https://drive.google.com/uc?id=1KlOcJtGu2Qw_TAouH8CB8uBzSOEo2jpI;2;квартира;;;6;1;;нет;;3,8;;;;7,2;;9,8;;0,9;;;;;;;;;;16,8;10,5;;;;;;;;;;Оформление документов;;;10.01.20;5659238;;;;;;;;;;Нет;Нет
ЖК Яркий;2;43;СТ В;;28,8;https://drive.google.com/uc?id=1RWi3pf00llftC7ghiudnzkBP8MbhAClI;0;квартира;;;6;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Свободно;;;;5659239;;;;;;;;;;Нет;Нет
ЖК Яркий;2;44;СТ Б;;28,8;https://drive.google.com/uc?id=1RlwNdxrTi6bL8i_vbgXWpTu1r6oFGww5;0;квартира;;;6;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Свободно;;;;5659240;;;;;;;;;;Нет;Нет
ЖК Яркий;2;45;2 Д;;48,1;https://drive.google.com/uc?id=1c7GQC5zBXbjyVMob6A_jFQzRjfjj__EJ;2;квартира;;;6;1;;нет;;3,8;;;;7,2;;9,8;;;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659241;;;;;;;;;;Да;Нет
ЖК Яркий;2;46;СТ Д;;32,3;https://drive.google.com/uc?id=1-f0o1jUzeS07JB65weHOxOjZnwLYy6GJ;0;квартира;;;6;1;;да;;3,9;;;;5;;;;1,1;;;;;;;;;;22,3;;;;;;;;;;;Свободно;;;;5659242;;;;;;;;;;Нет;Нет
ЖК Яркий;2;47;СТ А;;22,1;https://drive.google.com/uc?id=14gwHwEqAHu-Dno8kIZoI_qtmAV1PeDkt;0;квартира;;;6;1;;да;;3,1;;;;2,5;;;;;;;;;;;;;;16,5;;;;;;;;;;;Не для продажи;;;;5659243;;;;;;;;;;Нет;Нет
ЖК Яркий;2;48;2 Г;;45,5;https://drive.google.com/uc?id=1FrAq8kwLwcM4aaC_LFnfKr_OPyEVbPc2;2;квартира;;;6;1;;нет;;4,7;;;;8,7;;;;1,1;;;;;;;;;;16,3;14,7;;;;;;;;;;Свободно;;;;5659244;;;;;;;;;;Нет;Нет
ЖК Яркий;2;49;1 А;;35,2;https://drive.google.com/uc?id=11W1MVzryvo4zyEcp4iCv5CQLMy2gjKVg;1;квартира;;;6;1;;нет;;3,4;;;;6,4;;7;;0,8;;;;;;;;;;17,6;;;;;;;;;;;Бронь;;;10.01.20;5659245;;;;;;;;;;Нет;Нет
ЖК Яркий;2;50;2 А;;33,5;https://drive.google.com/uc?id=16_MWLgMVqmAMJh1uf3BfvmZM-Zn6y3Jh;2;квартира;;;7;1;;нет;;4;;;;3,7;;;;;;;;;;;;;;16,8;9;;;;;;;;;;Оформление документов;;;10.01.20;5659246;;;;;;;;;;Нет;Нет
ЖК Яркий;2;51;2 Ж;;49;https://drive.google.com/uc?id=1KlOcJtGu2Qw_TAouH8CB8uBzSOEo2jpI;2;квартира;;;7;1;;нет;;3,8;;;;7,2;;9,8;;0,9;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659247;;;;;;;;;;Нет;Нет
ЖК Яркий;2;52;СТ В;;28,8;https://drive.google.com/uc?id=1RWi3pf00llftC7ghiudnzkBP8MbhAClI;0;квартира;;;7;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Свободно;;;;5659248;;;;;;;;;;Нет;Нет
ЖК Яркий;2;53;СТ Б;;28,8;https://drive.google.com/uc?id=1RlwNdxrTi6bL8i_vbgXWpTu1r6oFGww5;0;квартира;;;7;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Свободно;;;;5659249;;;;;;;;;;Нет;Нет
ЖК Яркий;2;54;2 Д;;48,1;https://drive.google.com/uc?id=1c7GQC5zBXbjyVMob6A_jFQzRjfjj__EJ;2;квартира;;;7;1;;нет;;3,8;;;;7,2;;9,8;;;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659250;;;;;;;;;;Да;Нет
ЖК Яркий;2;55;СТ Д;;32,3;https://drive.google.com/uc?id=1-f0o1jUzeS07JB65weHOxOjZnwLYy6GJ;0;квартира;;;7;1;;да;;3,9;;;;5;;;;1,1;;;;;;;;;;22,3;;;;;;;;;;;Свободно;;;;5659251;;;;;;;;;;Нет;Нет
ЖК Яркий;2;56;СТ А;;22,1;https://drive.google.com/uc?id=14gwHwEqAHu-Dno8kIZoI_qtmAV1PeDkt;0;квартира;;;7;1;;да;;3,1;;;;2,5;;;;;;;;;;;;;;16,5;;;;;;;;;;;Не для продажи;;;;5659252;;;;;;;;;;Нет;Нет
ЖК Яркий;2;57;2 Г;;45,5;https://drive.google.com/uc?id=1FrAq8kwLwcM4aaC_LFnfKr_OPyEVbPc2;2;квартира;;;7;1;;нет;;4,7;;;;8,7;;;;1,1;;;;;;;;;;16,3;14,7;;;;;;;;;;Свободно;;;;5659253;;;;;;;;;;Нет;Нет
ЖК Яркий;2;58;1 А;;35,2;https://drive.google.com/uc?id=11W1MVzryvo4zyEcp4iCv5CQLMy2gjKVg;1;квартира;;;7;1;;нет;;3,4;;;;6,4;;7;;0,8;;;;;;;;;;17,6;;;;;;;;;;;Свободно;;;;5659254;;;;;;;;;;Нет;Нет
ЖК Яркий;2;59;2 В;;36,7;https://drive.google.com/uc?id=14yJ1_Us14b-2KZ16QgJV8Hw-FUAIGMpB;2;квартира;;;1;2;;нет;;5,1;;;;6,3;;;;;;;;;;;;;;14,3;11;;;;;;;;;;Свободно;;;;5659255;;;;;;;;;;Нет;Нет
ЖК Яркий;2;60;2 А;;33,4;https://drive.google.com/uc?id=1GrGQk8HyACFssMc3nFUzuGAcwbWM2C8e;2;квартира;;;1;2;;нет;;3,6;;;;3,6;;;;;;;;;;;;;;14,8;11,4;;;;;;;;;;Свободно;;;;5659256;;;;;;;;;;Нет;Нет
ЖК Яркий;2;61;СТ Д;;29,8;https://drive.google.com/uc?id=1wSQhGdkr8Cfc053lexsqYuB1dMAlUkeH;0;квартира;;;1;2;;да;;4,7;;;;4,3;;;;;;;;;;;;;;20,8;;;;;;;;;;;Свободно;;;;5659257;;;;;;;;;;Нет;Нет
