Проект;Номер дома;Номер квартиры;Тип планировки;Тип планировки 2;Общая площадь, кв,м,;Ссылка на планировку;Комнатность;Тип;Паркинг;Вид из окна;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Размер сан узла №2;Размер сан узла №3;Размер сан узла №4;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Размер балкона №4;Размер балкона №5;Терраса №1;Терраса №2;Терраса №3;Терраса №4;Терраса №5;Жилая площадь за кв,м,;Размер второй комнаты;Размер третьей комнаты;Размер четвертой комнаты;Размер 5 комнаты;Размер 6 комнаты;Размер 7 комнаты;Размер 8 комнаты;Размер 9 комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Дополнительный статус;Дата старта продаж;Дата продажи;ProfitbaseId;ProfitbaseHomeId;ComplexId;Площадь гардеробной1;Площадь гардеробной2;Площадь гардеробной3;Площадь гардеробной4;Совмещенный санузел;Высота потолков;Акция;Угловая;Над проходом
ЖК Яркий;2;18;2 Д;;48,1;https://drive.google.com/uc?id=1c7GQC5zBXbjyVMob6A_jFQzRjfjj__EJ;2;квартира;;;3;1;;нет;;3,8;;;;7,2;;9,8;;;;;;;;;;;;16,8;10,5;;;;;;;;;;Свободно;;;;5659214;;;;;;;;;;Да;Нет
ЖК Яркий;2;19;СТ Д;;32,3;https://drive.google.com/uc?id=1-f0o1jUzeS07JB65weHOxOjZnwLYy6GJ;0;квартира;;;3;1;;да;;3,9;;;;5;;;;1,1;;;;;;;;;;22,3;;;;;;;;;;;Свободно;;;;5659215;;;;;;;;;;Нет;Нет
ЖК Яркий;2;20;СТ А;;22,1;https://drive.google.com/uc?id=14gwHwEqAHu-Dno8kIZoI_qtmAV1PeDkt;0;квартира;;;3;1;;да;;3,1;;;;2,5;;;;;;;;;;;;;;16,5;;;;;;;;;;;Не для продажи;;;;5659216;;;;;;;;;;Нет;Нет
ЖК Яркий;2;21;2 Г;;45,5;https://drive.google.com/uc?id=1FrAq8kwLwcM4aaC_LFnfKr_OPyEVbPc2;2;квартира;;;3;1;;нет;;4,7;;;;8,7;;;;1,1;;;;;;;;;;16,3;14,7;;;;;;;;;;Свободно;;;;5659217;;;;;;;;;;Нет;Нет
ЖК Яркий;2;22;1 А;;35,2;https://drive.google.com/uc?id=11W1MVzryvo4zyEcp4iCv5CQLMy2gjKVg;1;квартира;;;3;1;;нет;;3,4;;;;6,4;;7;;0,8;;;;;;;;;;17,6;;;;;;;;;;;Свободно;;;;5659218;;;;;;;;;;Нет;Нет
ЖК Яркий;2;23;2 А;;33,5;https://drive.google.com/uc?id=16_MWLgMVqmAMJh1uf3BfvmZM-Zn6y3Jh;2;квартира;;;4;1;;нет;;4;;;;3,7;;;;;;;;;;;;;;16,8;9;;;;;;;;;;Не для продажи;;;;5659219;;;;;;;;;;Нет;Нет
ЖК Яркий;2;24;2 Ж;;49;https://drive.google.com/uc?id=1KlOcJtGu2Qw_TAouH8CB8uBzSOEo2jpI;2;квартира;;;4;1;;нет;;3,8;;;;7,2;;9,8;;0,9;;;;;;;;;;16,8;10,5;;;;;;;;;;Не для продажи;;;;5659220;;;;;;;;;;Нет;Нет
ЖК Яркий;2;25;СТ В;;28,8;https://drive.google.com/uc?id=1RWi3pf00llftC7ghiudnzkBP8MbhAClI;0;квартира;;;4;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Не для продажи;;;;5659221;;;;;;;;;;Нет;Нет
ЖК Яркий;2;26;СТ Б;;28,8;https://drive.google.com/uc?id=1RlwNdxrTi6bL8i_vbgXWpTu1r6oFGww5;0;квартира;;;4;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Не для продажи;;;;5659222;;;;;;;;;;Нет;Нет
ЖК Яркий;2;27;2 Д;;48,1;https://drive.google.com/uc?id=1c7GQC5zBXbjyVMob6A_jFQzRjfjj__EJ;2;квартира;;;4;1;;нет;;3,8;;;;7,2;;9,8;;;;;;;;;;;;16,8;10,5;;;;;;;;;;Не для продажи;;;;5659223;;;;;;;;;;Да;Нет
ЖК Яркий;2;28;СТ Д;;32,3;https://drive.google.com/uc?id=1-f0o1jUzeS07JB65weHOxOjZnwLYy6GJ;0;квартира;;;4;1;;да;;3,9;;;;5;;;;1,1;;;;;;;;;;22,3;;;;;;;;;;;Не для продажи;;;;5659224;;;;;;;;;;Нет;Нет
ЖК Яркий;2;29;СТ А;;22,1;https://drive.google.com/uc?id=14gwHwEqAHu-Dno8kIZoI_qtmAV1PeDkt;0;квартира;;;4;1;;да;;3,1;;;;2,5;;;;;;;;;;;;;;16,5;;;;;;;;;;;Не для продажи;;;;5659225;;;;;;;;;;Нет;Нет
ЖК Яркий;2;30;2 Г;;45,5;https://drive.google.com/uc?id=1FrAq8kwLwcM4aaC_LFnfKr_OPyEVbPc2;2;квартира;;;4;1;;нет;;4,7;;;;8,7;;;;1,1;;;;;;;;;;16,3;14,7;;;;;;;;;;Не для продажи;;;;5659226;;;;;;;;;;Нет;Нет
ЖК Яркий;2;31;1 А;;35,2;https://drive.google.com/uc?id=11W1MVzryvo4zyEcp4iCv5CQLMy2gjKVg;1;квартира;;;4;1;;нет;;3,4;;;;6,4;;7;;0,8;;;;;;;;;;17,6;;;;;;;;;;;Не для продажи;;;;5659227;;;;;;;;;;Нет;Нет
ЖК Яркий;2;32;2 А;;33,5;https://drive.google.com/uc?id=16_MWLgMVqmAMJh1uf3BfvmZM-Zn6y3Jh;2;квартира;;;5;1;;нет;;4;;;;3,7;;;;;;;;;;;;;;16,8;9;;;;;;;;;;Не для продажи;;;;5659228;;;;;;;;;;Нет;Нет
ЖК Яркий;2;33;2 Ж;;49;https://drive.google.com/uc?id=1KlOcJtGu2Qw_TAouH8CB8uBzSOEo2jpI;2;квартира;;;5;1;;нет;;3,8;;;;7,2;;9,8;;0,9;;;;;;;;;;16,8;10,5;;;;;;;;;;Не для продажи;;;;5659229;;;;;;;;;;Нет;Нет
ЖК Яркий;2;34;СТ В;;28,8;https://drive.google.com/uc?id=1RWi3pf00llftC7ghiudnzkBP8MbhAClI;0;квартира;;;5;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Не для продажи;;;;5659230;;;;;;;;;;Нет;Нет
ЖК Яркий;2;35;СТ Б;;28,8;https://drive.google.com/uc?id=1RlwNdxrTi6bL8i_vbgXWpTu1r6oFGww5;0;квартира;;;5;1;;да;;3,2;;;;4,6;;;;;;;;;;;;;;21;;;;;;;;;;;Не для продажи;;;;5659231;;;;;;;;;;Нет;Нет
ЖК Яркий;2;36;2 Д;;48,1;https://drive.google.com/uc?id=1c7GQC5zBXbjyVMob6A_jFQzRjfjj__EJ;2;квартира;;;5;1;;нет;;3,8;;;;7,2;;9,8;;;;;;;;;;;;16,8;10,5;;;;;;;;;;Не для продажи;;;;5659232;;;;;;;;;;Да;Нет
ЖК Яркий;2;37;СТ Д;;32,3;https://drive.google.com/uc?id=1-f0o1jUzeS07JB65weHOxOjZnwLYy6GJ;0;квартира;;;5;1;;да;;3,9;;;;5;;;;1,1;;;;;;;;;;22,3;;;;;;;;;;;Не для продажи;;;;5659233;;;;;;;;;;Нет;Нет
ЖК Яркий;2;38;СТ А;;22,1;https://drive.google.com/uc?id=14gwHwEqAHu-Dno8kIZoI_qtmAV1PeDkt;0;квартира;;;5;1;;да;;3,1;;;;2,5;;;;;;;;;;;;;;16,5;;;;;;;;;;;Не для продажи;;;;5659234;;;;;;;;;;Нет;Нет
