Проект;Номер дома;Номер квартиры;Тип планировки;Тип планировки 2;Общая площадь, кв,м,;Ссылка на планировку;Комнатность;Тип;Паркинг;Вид из окна;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Размер сан узла №2;Размер сан узла №3;Размер сан узла №4;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Размер балкона №4;Размер балкона №5;Терраса №1;Терраса №2;Терраса №3;Терраса №4;Терраса №5;Жилая площадь за кв,м,;Размер второй комнаты;Размер третьей комнаты;Размер четвертой комнаты;Размер 5 комнаты;Размер 6 комнаты;Размер 7 комнаты;Размер 8 комнаты;Размер 9 комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Дополнительный статус;Дата старта продаж;Дата продажи;ProfitbaseId;ProfitbaseHomeId;ComplexId;Площадь гардеробных
Этто;1;296;2Е;;51,9;https://drive.google.com/uc?id=1u0avWOIIUdWunTRTckyHOhE6FIH0eGa-;2;;;;17;2;;нет;1;4,2;;;;5;;9,3;1;3;;;;;;;;;;31,9;18,2;13,7;;;;;;;61500;3191850;Свободно;;;;;;;
Этто;1;297;2Е;;44,8;https://drive.google.com/uc?id=1ZkakGPA3SUTAGDkd7-M9w0-7SSaun9I0;2;;;;17;2;;нет;1;3,7;;;;4,4;;9,4;1;3;;;;;;;;;;25,8;15;10,8;;;;;;;66500;2981440;Свободно;;;;;;;
Этто;1;298;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;17;2;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;64500;2676750;Свободно;;;;;;;4
Этто;1;299;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;17;2;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;64500;2676750;Свободно;;;;;;;4
Этто;1;300;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;17;2;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;61500;2570700;Продано;;;11.09.19;;;;
Этто;1;301;2К;;50,5;https://drive.google.com/uc?id=1bYPyLB75h4x3ZY_bsqbPLlJWzvJ1K4dC;2;;;;17;2;;нет;1;3,8;;;;6,9;1;11,4;1;3;;;;;;;;;;25,5;10,6;14,9;;;;;;;69500;3560250;Свободно;;;;;;;1,4
Этто;1;302;3Е;;81,5;https://drive.google.com/uc?id=1pIHl62KAS0IyIAGIdjxuHp2VBX993KMr;3;;;;17;2;;нет;2;4,9;2,4;;;10,6;1;10,7;1;8,8;;;;;;;;;;46,1;13,8;13,8;18,5;;;;;;66000;5387150;Бронь;;;;;;;2,4
Этто;1;303;1C;;33;https://drive.google.com/uc?id=1tTMIo8WYpgCj_N0r2l8Lz9PiGG1TX311;1;;;;17;2;;да;1;3,7;;;;3,8;;4,1;1;3,8;;;;;;;;;;19,5;;;;;;;;;68700;2268750;Свободно;;;;;;;
Этто;1;304;2Е;;50;https://drive.google.com/uc?id=1ENvMCzwWwFyvRwj6OoQsrJmv4n8Djjhr;2;;;;18;2;;нет;1;4,6;;;;4,5;;7,4;1;3;;;;;;;;;;32;18,3;13,7;;;;;;;62750;3137500;Свободно;;;;;;;
Этто;1;305;2Е;;51,9;https://drive.google.com/uc?id=1u0avWOIIUdWunTRTckyHOhE6FIH0eGa-;2;;;;18;2;;нет;1;4,2;;;;5;;9,3;1;3;;;;;;;;;;31,9;18,2;13,7;;;;;;;61750;3204825;Свободно;;;;;;;
Этто;1;306;2Е;;44,8;https://drive.google.com/uc?id=1ZkakGPA3SUTAGDkd7-M9w0-7SSaun9I0;2;;;;18;2;;нет;1;3,7;;;;4,4;;9,4;1;3;;;;;;;;;;25,8;15;10,8;;;;;;;61750;2766400;Продано;;;04.07.19;;;;
Этто;1;307;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;18;2;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;64750;2687125;Свободно;;;;;;;4
Этто;1;308;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;18;2;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;64750;2687125;Свободно;;;;;;;4
Этто;1;309;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;18;2;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;65250;2727450;Свободно;;;;;;;
Этто;1;310;2К;;50,5;https://drive.google.com/uc?id=1bYPyLB75h4x3ZY_bsqbPLlJWzvJ1K4dC;2;;;;18;2;;нет;1;3,8;;;;6,9;1;11,4;1;3;;;;;;;;;;25,5;10,6;14,9;;;;;;;69750;3522375;Продано;;;04.09.19;;;;1,4
Этто;1;311;3Е;;81,5;https://drive.google.com/uc?id=1pIHl62KAS0IyIAGIdjxuHp2VBX993KMr;3;;;;18;2;;нет;2;4,9;2,4;;;10,6;1;10,7;1;8,8;;;;;;;;;;46,1;13,8;13,8;18,5;;;;;;60500;4930750;Продано;;;16.07.19;;;;2,4
Этто;1;312;1C;;33;https://drive.google.com/uc?id=1tTMIo8WYpgCj_N0r2l8Lz9PiGG1TX311;1;;;;18;2;;да;1;3,7;;;;3,8;;4,1;1;3,8;;;;;;;;;;19,5;;;;;;;;;69000;2277000;Свободно;;;;;;;
Этто;1;313;2Е;;50;https://drive.google.com/uc?id=1ENvMCzwWwFyvRwj6OoQsrJmv4n8Djjhr;2;;;;19;2;;нет;1;4,6;;;;4,5;;7,4;1;3;;;;;;;;;;32;18,3;13,7;;;;;;;67000;3350000;Свободно;;;;;;;
Этто;1;314;2Е;;51,9;https://drive.google.com/uc?id=1u0avWOIIUdWunTRTckyHOhE6FIH0eGa-;2;;;;19;2;;нет;1;4,2;;;;5;;9,3;1;3;;;;;;;;;;31,9;18,2;13,7;;;;;;;66000;3425400;Свободно;;;;;;;
Этто;1;315;2Е;;44,8;https://drive.google.com/uc?id=1ZkakGPA3SUTAGDkd7-M9w0-7SSaun9I0;2;;;;19;2;;нет;1;3,7;;;;4,4;;9,4;1;3;;;;;;;;;;25,8;15;10,8;;;;;;;70000;3136000;Свободно;;;;;;;
Этто;1;316;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;19;2;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;68000;2822000;Свободно;;;;;;;4
Этто;1;317;1К;;41,5;https://drive.google.com/uc?id=1ZWH7AA9WXL9ScFkpCdsvDV-8G2xCGy3j;1;;;;19;2;;нет;1;3,7;;;;3,7;1;10,8;1;3;;;;;;;;;;17,8;;;;;;;;;68000;2822000;Свободно;;;;;;;4
Этто;1;318;1К;;41,8;https://drive.google.com/uc?id=1ckSJtD4nogOvuSMDpH-aYqnA8kuqk8J0;1;;;;19;2;;нет;1;3,7;;;;4,4;;10,8;1;3;;;;;;;;;;21,4;14,7;6,7;;;;;;;68500;2863300;Свободно;;;;;;;
Этто;1;319;2К;;50,5;https://drive.google.com/uc?id=1bYPyLB75h4x3ZY_bsqbPLlJWzvJ1K4dC;2;;;;19;2;;нет;1;3,8;;;;6,9;1;11,4;1;3;;;;;;;;;;25,5;10,6;14,9;;;;;;;73000;3686500;Свободно;;;;;;;1,4
Этто;1;320;3Е;;81,5;https://drive.google.com/uc?id=1pIHl62KAS0IyIAGIdjxuHp2VBX993KMr;3;;;;19;2;;нет;2;4,9;2,4;;;10,6;1;10,7;1;8,8;;;;;;;;;;46,1;13,8;13,8;18,5;;;;;;70000;5705000;Свободно;;;;;;;2,4
Этто;1;321;1C;;33;https://drive.google.com/uc?id=1tTMIo8WYpgCj_N0r2l8Lz9PiGG1TX311;1;;;;19;2;;да;1;3,7;;;;3,8;;4,1;1;3,8;;;;;;;;;;19,5;;;;;;;;;72300;2385900;Свободно;;;;;;;
Этто;1;322;2Е;;50;https://drive.google.com/uc?id=1ENvMCzwWwFyvRwj6OoQsrJmv4n8Djjhr;2;;;;20;2;;нет;1;4,6;;;;4,5;;7,4;1;3;;;;;;;;;;32;18,3;13,7;;;;;;;67000;3350000;Свободно;;;;;;;
Этто;1;323;4К;;133;https://drive.google.com/uc?id=12iWDmK8lhJCuWyM_7GsJYeELBC_QuoBm;4;;;;20;2;;нет;2;3,7;4,2;;;11,4;1;20,15;2;3;3;;;;94,3;;;;;55;17,5;11,9;25,6;;;;;;65000;8645000;Свободно;;;;;;;2
Этто;1;324;3Е;;83;https://drive.google.com/uc?id=1_cgKjLtW7BUgUKsXTDtrWZ3oeJw5of0D;3;;;;20;2;;нет;2;3,8;1,6;;;11,8;;17;2;3;3;;;;;;;;;45,8;22,6;14,2;9;;;;;;70000;5810000;Свободно;;;;;;;
Этто;1;325;4Е;;142,8;https://drive.google.com/uc?id=1sHGpoZ_Emt_d0ZIr448lsA-hM35J82OR;4;;;;20;2;;нет;3;3,8;3,7;5,8;;16;;29,6;1;3;;;;;99;;;;;48;22;15;11;;;;;;65000;9282000;Продано;;;18.06.19;;;;
