Номер дома;Общая площадь, кв,м,;Комнатность;Этаж;Секция;Линия;Студия;Количество сан узлов;Размер сан узла №1;Тип санузла 1;Размер сан узла №2;Тип санузла 2;Размер коридора;Гардеробная;Кухня;Количество балконов;Размер балкона №1;Размер балкона №2;Размер балкона №3;Жилая площадь за кв,м,;Размер 1-й комнаты;Размер 2-й комнаты;Размер 3-й комнаты;Размер 4-й комнаты;Ценазакв,м,;Ценазапомещение,тг.;Статус;Площадь гардеробных;Месяц продажи;Год продажи;планировка_1;планировка_2
7;33.4;1ккв;6;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;110926.0;3704928.4;Продажа;2.2;7;2019;Л;Н
7;58.3;2ккв;6;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;94279.0;5496465.7;Продажа;2.7;7;2019;Р;ДН
7;45.8;2ккв;7;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;12.0;0.0;0.0;98032.0;4489865.6;Продажа;0.0;8;2019;У;ДС
7;40.8;2ккв(с);7;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;9.0;2.0;3.6;3.2;3.6;21.9;12.5;9.4;0.0;0.0;103812.0;4235529.6;Продажа;0.0;7;2019;У;НС
7;34.3;1ккв;7;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;112868.0;3871372.4;Продажа;2.7;8;2019;Л;Н
7;33.4;1ккв;7;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;112868.0;3769791.2;Продажа;2.2;8;2019;Л;Н
7;58.3;2ккв;7;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;94010.0;5480783.0;Продажа;2.7;8;2019;Р;ДН
7;45.8;2ккв;8;1;1;0;1.0;4.8;нет данных;0.0;Санузел отсутствует;5.3;0.0;10.6;0.0;0.0;0.0;3.6;23.5;11.6;12.0;0.0;0.0;99239.0;4545146.2;Продажа;0.0;8;2019;У;ДС
7;40.8;2ккв(с);8;1;2;1;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.6;0.0;9.0;2.0;3.6;3.2;3.6;21.9;12.5;9.4;0.0;0.0;105075.0;4287060.0;Продажа;0.0;8;2019;У;НС
7;34.3;1ккв;8;1;3;0;1.0;3.6;нет данных;0.0;Санузел отсутствует;3.9;1.0;10.4;1.0;6.9;0.0;3.6;11.6;11.6;0.0;0.0;0.0;129274.0;4434098.2;Продажа;2.7;10;2019;Л;Н
7;33.4;1ккв;8;1;4;0;1.0;3.9;нет данных;0.0;Санузел отсутствует;3.3;1.0;10.8;1.0;3.6;0.0;3.6;12.1;12.1;0.0;0.0;0.0;127437.0;4256395.8;Продажа;2.2;11;2019;Л;Н
7;58.3;2ккв;8;1;5;0;1.0;4.3;нет данных;0.0;Санузел отсутствует;8.3;1.0;14.4;2.0;3.0;3.0;3.6;25.6;12.2;13.4;0.0;0.0;101007.409948542;5888732.0;Продажа;2.7;11;2019;Р;ДН
